,제목,Aired Date,Year of release,Original Network,Aired On,Number of Episodes,Duration,Content Rating,Rating,Genre,Tags,Director,Screenwriter,Cast,Production companies,Rank,시청률,click,장르
95,구해줘,"Aug  5, 2017 - Sep 24, 2017",2017,OCN," Saturday, Sunday",16,60 min.,15+ - Teens 15 or older,8.6,"Action,  Thriller,  Mystery,  Drama ","Cult, Adapted From A Webtoon, Church, Strong Female Lead, Bromance, School Bullying, Smart Female Lead, Deception, Strong Male Lead, Ex-convict",Kim Sung Soo,Jung Yi Do,"Seo Yea Ji, Ok Taec Yeon, Woo Do Hwan, Jo Sung Ha, Jo Jae Yoon, Park Ji Young",Hidden Sequence,#96,3.60%,13000,Life
96,배드 앤 크레이지,"Dec 17, 2021 - Jan 28, 2022",2021,"iQiyi, tvN","Friday, Saturday",12,1 hr. 10 min.,15+ - Teens 15 or older,8.6,"Action, Thriller, Mystery, Comedy","Injustice, Corruption, Investigation, Eccentric Male Lead, Strong Male Lead, Antihero, Strong Female Lead, Slight Romance, Bromance, Suspense",Yoo Seon Dong,Kim Sae Bom,"Lee Dong Wook, Wi Ha Joon, Han Ji Eun, Cha Hak Yeon, Sung Ji Ru, Cha Shi Won","Studio Dragon, Mink Entertainment",#97,4.50%,180000,Thriller
97,365 : 운명을 거스르는 1년,"Mar 23, 2020 - Apr 28, 2020",2020,MBC," Monday, Tuesday",24,35 min.,15+ - Teens 15 or older,8.6,"Thriller,  Mystery,  Drama,  Fantasy ","Strong Female Lead, Time Travel, Nice Male Lead, Suspense, Murder, Detective, Fate, Supernatural, Accident, Webtoon Writer",Kim Kyung Hee,"Lee Seo Yoon, Lee Soo Kyung","Lee Joon Hyuk, Nam Ji Hyun, Kim Jee Soo, Lee Sung Wook, Yoon Joo Sang, Ahn Seung Gyun",HB Entertainment,#98,5.10%,216,Mystery
98,주군의 태양,"Aug  7, 2013 - Oct  3, 2013",2013,SBS," Wednesday, Thursday",17,1 hr. 2 min.,15+ - Teens 15 or older,8.6,"Horror,  Comedy,  Romance,  Supernatural ","Ghost, Eccentric Female Lead, Rich Male Lead, Clingy Female Lead, Successful Male Lead, Obsession, Tragic Past, Trauma, Secondary Couple, Eccentric Male Lead",Jin Hyeok,"Hong Jung Eun, Hong Mi Ran","Gong Hyo Jin, So Ji Sub, Seo In Guk, Kim Yoo Ri, Choi Jung Woo, Kim  Mi Kyung",Bon Factory Worldwide,#99,21.80%,790000,Business
99,부암동 복수자들,"Oct 11, 2017 - Nov 16, 2017",2017,tvN," Wednesday, Thursday",12,60 min.,15+ - Teens 15 or older,8.6,"Friendship,  Comedy,  Life,  Drama ","Revenge, Sismance, Female Centered Plot, Strong Female Lead, Strong Female Characters, Healing, Smart Male Lead, Mother-Son Relationship, Mother-Daughter Relationship, Tragic Past","Kwon Seok Jang, Kim Sang Ho","Kim Yi Ji, Hwang Da Eun","Lee Yo Won, Ra Mi Ran, Myung Se Bin, Lee Jun Young, Choi Byung Mo, Jang Yong",JS Pictures,#100,6.30%,210000,Thriller
100,역적: 백성을 훔친 도적,"Jan 30, 2017 - May 16, 2017",2017,MBC," Monday, Tuesday",30,60 min.,15+ - Teens 15 or older,8.5,"Action,  Thriller,  Historical,  Romance ","Rebellion, Joseon Dynasty, Strong Male Lead, Smart Male Lead, Corruption, Slave, Discrimination, Bromance, Superhuman Strength, Revenge",Kim Jin Man,Hwang Jin Young,"Yoon Kyun Sang, Chae Soo Bin, Kim Ji Suk, Lee Ha Nee, Kim Sang Joong, Shim Hee Sub","Hunus Entertainment, Hong Gil-dong SPC",#101,14.40%,520000,Psychological
101,아무도 모른다,"Mar  2, 2020 - Apr 21, 2020",2020,SBS," Monday, Tuesday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.5,"Thriller,  Mystery,  Drama,  Melodrama ","Strong Female Lead, Smart Female Lead, Unusual Friendship, Murder, Death, Strong Friendship, Guilt, Calm Female Lead, Serial Killer, Trauma",Lee Jung Heum,Kim Eun Hyang,"Kim Seo Hyung, Ryu Deok Hwan, Park Hoon, Ahn Ji Ho, Min Jin Woong, Kang Ye Won",The Story Works,#102,11.40%,350000,Thriller
102,나쁜 녀석들,"Oct  4, 2014 - Dec 13, 2014",2014,OCN,Saturday,11,1 hr. 5 min.,18+ Restricted (violence & profanity),8.5,"Action,  Thriller,  Psychological,  Crime ","Psychopath, Murder, Teamwork, Serial Killer, Strong Male Lead, Gangster, Smart Male Lead, Skilled Killer, Violence, Death","Shin Yong Hwi, Kim Jung Min",Han Jung Hoon,"Kim Sang Joong, Park Hae Jin, Jo Dong Hyuk, Ma Dong Seok, Kang Ye Won, Kang Shin Il",Urban Works Media,#103,4.80%,24000,Historical
103,아름다운 세상,"Apr  5, 2019 - May 25, 2019",2019,"jTBC,  Viki "," Friday, Saturday",16,60 min.,15+ - Teens 15 or older,8.5,"Life,  School,  Family,  Melodrama ","School Bullying, Family Relationship, Coma, Tearjerker, Sibling, Student, Psychopath, High School, Married Couple, Strong Female Lead",Park Chan Hong,Kim Ji Woo,"Park Hee Soon , Choo Ja Hyun, Oh Man Suk, Cho Yeo Jung, Nam  Da Reum , Kim Hwan Hee","MI Inc., NK Mulsan",#104,5.80%,340000,Mystery
104,아스달 연대기 파트 1,"Jun  1, 2019 - Jun 16, 2019",2019,"Netflix,  tvN "," Saturday, Sunday",6,1 hr. 20 min.,15+ - Teens 15 or older,8.5,"Historical,  Romance,  Fantasy,  Political ","Power Struggle, Multiple Mains, Curse, Hidden Identity, Identical Twins, Strong Female Lead, War, Orphan Male Lead, Slavery, Shamanism",Kim Won Suk,"Kim Young Hyun, Park Sang Yeon","Song Joong Ki, Kim Ji Won, Jang Dong Gun, Kim Ok Bin, Kim Eui Sung, Lee Do Kyung","Studio Dragon, KPJ",#105,7.70%,360000,Thriller
105,카이로스,"Oct 26, 2020 - Dec 22, 2020",2020,MBC," Monday, Tuesday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.5,"Action,  Thriller,  Drama,  Sci-Fi ","Time Altering, Past And Present, Hardworking Male Lead, Smart Male Lead, Family Secret, Rich Male Lead, Betrayal, Gaslighting, Different Timelines, Successful Male Lead","Park Seung Woo, Sung Chi Wook",Lee Soo Hyun,"Shin Sung Rok, Lee Se Young, Ahn Bo Hyun, Nam Gyu Ri, Kang Seung Yoon, Jo Dong In","OH Story, Blossom Story",#106,3.80%,910000,Comedy
106,너의 목소리가 들려,"Jun  5, 2013 - Aug  1, 2013",2013,SBS," Wednesday, Thursday",18,60 min.,15+ - Teens 15 or older,8.5,"Mystery,  Law,  Romance,  Supernatural ","Special Power, Revenge, Smart Female Lead, Trauma, Strong Female Lead, Older Woman/Younger Man, Male Chases Female First, Age Gap, Mind Reading, Cohabitation",Jo Soo Won,Park Hye Ryun,"Lee Jong Suk, Lee Bo Young, Yoon Sang Hyun, Lee Da Hee, Jung Woong In, Yoon Joo Sang","Doremi Entertainment, Kim Jong-hak Production",#107,24.10%,70000,Action
107,김비서가 왜 그럴까,"Jun  6, 2018 - Jul 26, 2018",2018,tvN," Wednesday, Thursday",16,1 hr. 9 min.,15+ - Teens 15 or older,8.5,"Friendship,  Business,  Comedy,  Romance ","Adapted From A Webtoon, Steamy Kiss, Male Chases Female First, Boss-Employee Relationship, Office Romance, Rich Male Lead, Calm Female Lead, Trauma, Smart Female Lead, Secretary",Park Joon Hwa,"Baek Sun Woo, Choi Bo Rim","Park Min Young, Park Seo Joon, Lee Tae Hwan, Pyo Ye Jin, Kim Hye Ok, Kim Byung Ok",Bon Factory Worldwide,#108,8.70%,21000,Comedy
108,베가본드,"Sep 20, 2019 - Nov 23, 2019",2019,"Netflix,  SBS "," Friday, Saturday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.5,"Action,  Thriller,  Mystery,  Crime ","Plane Crash, Revenge, National Intelligence Service, Corruption, Agent, Death Of A Child, Death, Spy, Strong Male Lead, Terrorist",Yoo In Shik,"Jang Young Chul, Jung Kyung Soon","Lee Seung Gi, Bae Suzy, Shin Sung Rok, Baek  Yoon Shik, Moon Sung Geun, Kim Min Jong",Celltrion Entertainment,#109,13.00%,180000,Thriller
109,어느 날,"Nov 27, 2021 - Dec 19, 2021",2021,ViuTV,"Saturday, Sunday",8,1 hr. 10 min.,18+ Restricted (violence & profanity),8.5,"Thriller, Mystery, Law, Crime","Murder, Investigation, Brief Nudity, Sexual Content, Death, Student, Lawyer Male Lead, Drug Usage, Trial, Violence",Lee Myung Woo,Kwon Soon Gyu,"Kim Soo Hyun, Cha Seung Won, Lee Seol, Kim Shin Rok, Kim Hong Pa, Kim Sung Gyu","Studio M, Chorokbaem Media, Gold Medalist",#110,,450000,Friendship
110,응답하라 1997,"Jul 24, 2012 - Sep 18, 2012",2012,tvN,Tuesday,16,60 min.,15+ - Teens 15 or older,8.5,"Comedy,  Romance,  Life,  Family ","Childhood Friends, High School, 1990s, Strong Friendship, First Love, Best Friends, Friends To Lovers, Bromance, Love Square, Unrequited Love",Shin Won Ho,"Lee Woo Jung, Kim Ran Joo","Jung Eun Ji, Seo In Guk, Hoya, Shin So Yool, Eun Ji Won, Lee Si Eon",CJ ENM,#111,5.10%,690000,Friendship
111,의사요한,"Jul 19, 2019 - Sep  7, 2019",2019,SBS," Friday, Saturday",32,35 min.,15+ - Teens 15 or older,8.5,"Mystery,  Romance,  Life,  Medical ","Smart Male Lead, Incurable Disease, Eccentric Male Lead, Euthanasia, Hardworking Male Lead, PTSD, Ex-convict, Secret, Trauma, Tragic Past",Jo Soo Won,Kim Ji Woon,"Ji Sung, Lee Se Young, Lee Kyu Hyung, Hwang Hee, Jung Min Ah, Kwon Hwa Woon",KPJ,#112,12.30%,710000,Comedy
112,"하이바이, 마마","Feb 22, 2020 - Apr 19, 2020",2020,"Netflix, tvN","Saturday, Sunday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.5,"Romance, Drama, Melodrama, Supernatural","Mother-Daughter Relationship, Nice Female Lead, Death, Reincarnation, Sismance, Ghost, Heartbreak, Remarriage, Father-Daughter Relationship, Nice Stepmother",Yoo Je Won,Kwon Hye Joo,"Kim Tae Hee, Lee Kyu Hyung, Go Bo Gyeol, Seo Woo Jin, Shin Dong Mi, Oh Eui Shik",MI Inc.,#113,6.50%,2360000,Drama
113,보이스,"Jan 14, 2017 - Mar 12, 2017",2017,OCN,"Saturday, Sunday",16,60 min.,15+ - Teens 15 or older,8.5,"Thriller, Mystery, Psychological","Strong Female Lead, Murder, Aggressive Male Lead, Special Power, Mad Dog, Death, Investigation, Suspense, Policewoman, Character Development",Kim Hong Seon,Ma Jin Won,"Jang Hyuk, Lee  Ha Na, Baek Sung Hyun, Ye Sung, Son Eun Seo, Kim Jae Wook",Content K,#114,,180000,Horror
114,쌈 마이웨이,"May 22, 2017 - Jul 11, 2017",2017,KBS2," Monday, Tuesday",16,60 min.,15+ - Teens 15 or older,8.5,"Business,  Comedy,  Romance,  Sports ","Childhood Friends, Friends To Lovers, Strong Male Lead, Strong Female Lead, Neighbors, Strong Friendship, Personal Growth, Character Development, Secondary Couple, Ex-girlfriend Comes Back","Lee Na Jung, Kim Dong Hwi",Im Sang Choon,"Park Seo Joon, Kim Ji Won, Ahn Jae Hong, Song  Ha Yoon, Kim Sung Oh, Jin Hee Kyung",Pan Entertainment,#115,13.80%,330000,Romance
115,오징어 게임,17-Sep-21,2021,Netflix,Friday,9,60 min.,18+ Restricted (violence & profanity),8.5,"Action,  Thriller,  Mystery,  Drama ","Death, Death Game, Poor Male Lead, Extreme Violence, Debt, Gore, Competition, Game Show, Survival, Murder",Hwang Dong Hyuk,Hwang Dong Hyuk,"Lee Jung Jae, Park Hae Soo, Jung Ho Yeon, Wi Ha Joon, Anupam Tripathi, Oh Young Soo",Siren Pictures Inc.,#116,,570000,Comedy
116,더블유,"Jul 20, 2016 - Sep 14, 2016",2016,MBC,"Wednesday, Thursday",16,60 min.,15+ - Teens 15 or older,8.5,"Thriller, Comedy, Romance, Fantasy","Parallel Dimension, Gun Violence, Crossworlds Traveler, Steamy Kiss, Rich Male Lead, Lovers Separated, Attempted Murder, Murder, Fight, Revenge",Jeong Dae Yun,Song Jae Jung,"Han Hyo Joo, Lee Jong Suk, Kim Eui Sung, Lee Tae Hwan, Jung Eugene, Lee Si Eon",Chorokbaem Media,#117,13.80%,100000,Thriller
117,선덕여왕,"May 25, 2009 - Dec 22, 2009",2009,MBC,"Monday, Tuesday",62,1 hr. 5 min.,15+ - Teens 15 or older,8.5,"Historical, Romance, Drama, Political","Power Struggle, Royalty, Smart Female Lead, Female Antagonist, Hwarang, Military, Cross-Dressing, Silla Dynasty, Sword-fight, Strong Female Lead","Park Hong Kyun, Kim Keun Hong","Kim Young Hyun, Park Sang Yeon","Lee Yo Won, Go Hyun Jung, Park Ye Jin, Yoo Seung Ho, Kim Nam Gil, Uhm Tae Woong",Time Box Production,#118,43.60%,250000,Thriller
118,이 구역의 미친 X,"May 24, 2021 - Jun 21, 2021",2021,"Daum Kakao TV, Netflix","Monday, Tuesday, Wednesday",13,35 min.,15+ - Teens 15 or older,8.5,"Comedy, Romance, Drama","Trauma, Enemies To Lovers, Anger Management Issues, Healing, Character Development, Unfortunate Male Lead, Dating Violence, Stalking, Cross-Dressing, Dog",Lee Tae Gon,Ah Kyung,"Oh Yeon Seo, Jung Woo, Lee Su Hyun, Ahn Woo Yeon, Kim Nam Hee, Baek Ji Won","Kakao Entertainment, S-PEACE",#119,,710000,Law
119,달리와 감자탕,"Sep 22, 2021 - Nov 11, 2021",2021,KBS2," Wednesday, Thursday",16,1 hr. 5 min.,15+ - Teens 15 or older,8.5,"Comedy,  Romance,  Drama ","Smart Female Lead, Rich Female Lead, Art Gallery, Rich Male Lead, Multilingual, Bankruptcy, Art, Eccentric Male Lead, Healthy Mains’ Relationship, Male Chases Female First",Lee Jung Sub,Son Eun Hye,"Park Gyu Young, Kim Min Jae, Kwon Yool, Hwang Hee, Yeonwoo, Park Sang Myun","Monster Union, Copus Korea",#120,5.70%,88000,Romance
120,서른이지만 열일곱입니다,"Jul 23, 2018 - Sep 18, 2018",2018,SBS,"Monday, Tuesday",32,35 min.,15+ - Teens 15 or older,8.5,"Music, Mystery, Comedy, Romance","Cohabitation, Healing, First Love, Coma, Tragic Past, Naive Female Lead, Nice Female Lead, Trauma, Eccentric Male Lead, Nice Male Lead",Jo Soo Won,Jo Sung Hee,"Shin Hye Sun, Yang Se Jong, Ahn Hyo Seop, Ye Ji Won, Wang Ji Won, Yoon Sun Woo",Bon Factory Worldwide,#121,11.00%,240000,Historical
121,동백꽃 필 무렵,"Sep 18, 2019 - Nov 21, 2019",2019,"KBS2,  Netflix "," Wednesday, Thursday",40,35 min.,15+ - Teens 15 or older,8.5,"Thriller,  Comedy,  Romance,  Drama,  Family ","Single Mother, Mystery, Motherhood, Serial Killer, Mother-Son Relationship, Hardworking Female Lead, Dorky Male Lead, Male Chases Female First, Nice Male Lead, Independent Female Lead","Kang Min Kyung, Cha Young Hoon",Im Sang Choon,"Gong Hyo Jin, Kang Ha Neul, Kim Ji Suk, Son Dam Bi, Oh Jung Se, Yeom Hye Ran",Pan Entertainment,#122,23.80%,100000,Music
122,멜로가 체질,"Aug 9, 2019 - Sep 28, 2019",2019,"jTBC, Viki","Friday, Saturday",16,1 hr. 5 min.,15+ - Teens 15 or older,8.5,"Comedy, Romance, Life, Melodrama","Multiple Mains, Sismance, Strong Female Lead, Multiple Couples, Independent Female Lead, Eccentric Female Lead, Badass Female Lead, Entertainment Industry, Smart Female Lead, Boss-Employee Relationship",Kim Hye Young,Kim Young Young,"Chun Woo Hee, Jeon Yeo Been, Han Ji Eun, Ahn Jae Hong, Gong Myung, Lee Joo Bin",Samhwa Networks,#123,1.80%,140000,Romance
123,이태원 클라쓰,"Jan 31, 2020 - Mar 21, 2020",2020,"jTBC, Netflix","Friday, Saturday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.5,"Business, Romance, Life, Drama","Revenge, Time Skip, Smart Female Lead, Female Chases Male First, Badass Female Lead, Strong Female Lead, Boss-Employee Relationship, Tragic Past, Nice Male Lead, Adapted From A Webtoon","Kang Min Gu, Kim Seong Yoon",Cho Kwang Jin,"Park Seo Joon, Kim Da Mi, Kwon Na Ra, Yoo Jae Myung, Ahn Bo Hyun, Kim Dong Hee","Showbox, Zium Content, JTBC Studios",#124,16.50%,750000,Comedy
124,설강화 : snowdrop,"Dec 18, 2021 - Jan 30, 2022",2021,jTBC,"Saturday, Sunday",16,1 hr. 30 min.,15+ - Teens 15 or older,8.5,"Romance, Drama, Melodrama, Political","1980s, Political Intrigue, Love At First Sight, Dormitory, North And South Korea, Conspiracy, University, Suspense, Student, Impulsive Female Lead",Jo Hyun Taek,Yoo Hyun Mi,"Jung Hae In, Kim Ji Soo, Jang Seung Jo, Yoo In Na, Yoon Se Ah, Kim Hye Yoon",JTBC Studios,#125,3.90%,250000,Thriller
125,써클,"May 22, 2017 - Jun 27, 2017",2017,tvN,"Monday, Tuesday",12,1 hr. 5 min.,15+ - Teens 15 or older,8.5,"Thriller, Mystery, Sci-Fi","Future, Bromance, Strong Female Lead, Smart Female Lead, Calm Female Lead, Smart Male Lead, Kidnapping, Character Development, Human Experimentation, Hidden Identity","Min Jin Gi, Jung Hyun Nam","Kim Jin Hee, Yoo Hye Mi, Ryu Moon Sang, Park Eun Mi","Yeo Jin Goo, Kim Kang Woo, Gong Seung Yeon, Lee Gi Kwang, Ahn Woo Yeon, Seo Hyun Chul","tvN, Studio Dragon, KPJ",#126,2.90%,340000,Music
126,이번 생은 처음이라,"Oct  9, 2017 - Nov 28, 2017",2017,tvN," Monday, Tuesday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.5,"Comedy,  Romance,  Life,  Drama ","Contract Relationship, Marriage Of Convenience, Housemates, Eccentric Male Lead, Multiple Couples, Cohabitation, Sismance, Nerdy Male Lead, Writer, Multiple Mains","Park Joon Hwa, Nam Sung Woo",Yoon Nan Joong,"Jung So Min, Lee Min Ki, Esom, Park Byung Eun, Kim Ga Eun, Kim Min Seok","Studio Dragon, MI Inc.",#127,4.90%,740000,Music
127,공주의 남자,"Jul 20, 2011 - Oct 6, 2011",2011,KBS2,"Wednesday, Thursday",24,1 hr. 5 min.,15+ - Teens 15 or older,8.5,"Action, Historical, Romance, Political","Forbidden Love, Strong Male Lead, Power Struggle, Strong Female Lead, Family Pressure, Joseon Dynasty, Revenge, Death, Father-Daughter Relationship, Princess Female Lead","Park Hyun Suk, Kim Jung Min, Kim Jung Min",Jo Jung Joo,"Park Shi Hoo, Moon Chae Won, Kim Yeong Cheol, Song Jong Ho, Hong Soo Hyun, Lee Min Woo",KBS Media,#128,24.90%,2000,Military
128,블라인드,"Sep 16, 2022 - Nov 5, 2022",2022,"OCN, tvN","Friday, Saturday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.5,"Thriller, Mystery, Drama","Judge Male Lead, Detective Male Lead, Perfectionist Male Lead, Investigation, Suspense, Juror Supporting Character, IT Engineer Supporting Character, Site Manager Supporting Character, Shaman Supporting Character, Production Director (PD) Supporting Character",Shin Yong Hwi,Kwon Ki Kyung,"Ok Taec Yeon, Ha Seok Jin, Jung Eun Ji, Jung In Ki, Jung Eui Wook, Park Ji Bin","Fantagio, Studio Dragon",#129,3.40%,220000,Comedy
129,투윅스,"Aug 7, 2013 - Sep 26, 2013",2013,MBC,"Wednesday, Thursday",16,1 hr. 8 min.,15+ - Teens 15 or older,8.5,"Action, Thriller, Mystery, Drama","Child Female Lead, Prosecutor Female Lead, Detective Male Lead, Single Father Male Lead, Leukemia, Wrongfully Accused, Slight Romance, Strong Male Lead, Conspiracy, Father-Daughter Relationship","Song Hyung Suk, Choi Jung Gyu",So Hyun Kyung,"Lee Joon Gi, Park Ha Sun, Ryu Soo Young, Kim So Yeon, Lee Chae Mi, Jo  Min Ki",JS Pictures,#130,11.50%,1210000,Historical
130,술꾼 도시 여자들,"Oct 22, 2021 - Nov 26, 2021",2021,tvN,Friday,12,35 min.,18+ Restricted (violence & profanity),8.5,"Comedy, Life, Drama","Sismance, Adapted From A Webtoon, Drinking, Friendship, Confident Female Lead, Suicide, Death, Workplace Abuse, Instructor Female Lead, Screenwriter Female Lead",Kim Jung Shik,Wi So Young,"Lee Sun Bin, Han Sun Hwa, Jung Eun Ji, Choi Si Won, Kim Jung Min, Yoo Ji Yeon",Bon Factory Worldwide,#131,2.00%,260000,Comedy
131,동이,"Mar 22, 2010 - Oct 12, 2010",2010,MBC,"Monday, Tuesday",60,1 hr. 5 min.,15+ - Teens 15 or older,8.5,"Adventure, Historical, Mystery, Romance","Harem, Joseon Dynasty, Investigation, King Male Lead, Skilled Fighter, Hidden Past, Noble Sacrifice, Skilled Killer, Orphan Female Lead, Royalty","Kim Sang Hyub, Lee Byung Hoon",Kim Yi Young,"Han Hyo Joo, Ji Jin Hee, Lee So Yeon, Bae Soo Bin, Park Ha Sun, Jung Jin Young","Lydus Contents Company, AStory",#132,29.10%,100000,Thriller
132,가우스 전자,"Sep 30, 2022 - Nov 5, 2022",2022,"ENA, Olleh TV","Friday, Saturday",12,50 min.,15+ - Teens 15 or older,8.5,"Business, Comedy, Romance, Life","Office Setting, Hot-tempered Female Lead, Weak Male Lead, Workplace Setting, Workplace Politics, Office Worker Female Lead, Office Worker Male Lead, Heir Male Lead, Secretary Supporting Character, Age Gap [Real Life]",Park Joon Soo,"Kang Go-eun, Seo Han-na","Kwak Dong Yeon, Go Sung Hee, Bae Hyun Sung, Kang  Min Ah, Baek Hyun Jin, Heo Jung Do","Pan Entertainment, Ling-aling",#133,,388,Thriller
133,"단, 하나의 사랑","May 22, 2019 - Jul 11, 2019",2019,KBS2,"Wednesday, Thursday",32,35 min.,15+ - Teens 15 or older,8.5,"Comedy, Romance, Drama, Fantasy","Nice Male Lead, Warm Man/Cold Woman, Orphan Female Lead, Strong Female Lead, Opposites Attract, Ballet, Rich Female Lead, Tearjerker, Male Chases Female First, Cohabitation",Lee Jung Sub,Choi Yoon Kyo,"Kim Myung Soo, Shin Hye Sun, Lee Dong Gun, Kim  Bo Mi, Woo Hee Jin, Gil Eun Hye","Victory Contents, Monster Union",#134,9.40%,79000,Romance
134,부부의 세계,"Mar 27, 2020 - May 16, 2020",2020,jTBC,"Friday, Saturday",16,1 hr. 20 min.,18+ Restricted (violence & profanity),8.5,"Thriller, Romance, Drama, Melodrama","Extramarital Affair, Revenge, Strong Female Lead, Lying, Sexual Content, Successful Female Lead, Friends To Enemies, Pregnancy, Psychological, Suspense",Mo Wan Il,Joo Hyun,"Kim Hee Ae, Park Hae Joon, Han So Hee, Park Sun Young, Kim Young Min, Chae Gook Hee","JTBC Studios, BBC Studios",#135,28.40%,200000,Thriller
135,지금 우리 학교는,28-Jan-22,2022,Netflix,Friday,12,1 hr. 2 min.,18+ Restricted (violence & profanity),8.5,"Action, Thriller, Horror, Sci-Fi","Survival, Zombies, Death, Zombie Apocalypse, Virus, High School, Student, Gore, School, Adapted From A Webtoon",Lee Jae Gyoo,Chun Sung Il,"Park Ji Hoo, Yoon Chan Young, Jo Yi Hyun, Lomon, Yoo In Soo, Kim Byung Chul","Film Monster, Kim Jong-hak Production",#136,,810000,Comedy
136,인간수업,29-Apr-20,2020,Netflix,Wednesday,10,55 min.,18+ Restricted (violence & profanity),8.5,"Psychological, Crime, Youth, Drama","Prostitution, Illegal Business, Student, High School, Greed, Sex Trafficking, Smart Male Lead, Rich Female Lead, Violence, Strong Female Lead",Kim Jin Min,Jin Han Sae,"Kim Dong Hee, Park Ju Hyun, Jung Da Bin, Nam Yoon Su, Choi Min Soo, Park Hyuk Kwon",Studio 329,#137,,760000,Thriller
137,유미의 세포들,"Sep 17, 2021 - Oct 30, 2021",2021,tvN," Friday, Saturday",14,1 hr. 10 min.,13+ - Teens 13 or older,8.5,"Psychological,  Comedy,  Romance,  Drama ","Career Woman, Slice Of Life, Friendship, Mixed Live Action-Animation, Office Worker, Workplace, Adapted From A Webtoon, Honest Male Lead, Game Developer, Personal Growth",Lee Sang Yeob,"Song Jae Jung, Kim Yoon Joo, Kim Kyung Ran","Kim Go Eun, Ahn Bo Hyun, Park Ji Hyun, Lee Yoo Bi, Joo Jong Hyuk, Park Jin Young","Studio Dragon, Merrycow Creative, Studio N, Locus Corporation",#138,1.20%,154183,Thriller
138,인간실격,"Sep 4, 2021 - Oct 24, 2021",2021,"iQiyi, jTBC","Saturday, Sunday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.4,"Life, Drama, Melodrama","Slow Burn Story, Depression, Philosophical, Father-Daughter Relationship, Friendship, Social Realism, Miscarriage, Older Woman/Younger Man, Hardworking Female Lead, Healing","Hur Jin Ho, Park Hong Soo",Kim Ji Hye,"Jeon Do Yeon, Ryu Joon Yeol, Park Byung Eun, Kim Hyo Jin, Park Ji Young, Park In Hwan","C-JeS Entertainment, Drama House",#139,4.20%,760000,Friendship
139,인현왕후의 男子,"Apr 18, 2012 - Jun 7, 2012",2012,tvN,"Wednesday, Thursday",16,45 min.,15+ - Teens 15 or older,8.4,"Historical, Comedy, Romance, Fantasy","Time Travel, Smart Male Lead, Joseon Dynasty, Calm Male Lead, Nice Male Lead, Amnesia, Height Difference, Famous Lead/Common Lead, Past And Present, Fate",Kim Byung Soo,Song Jae Jung,"Ji Hyun Woo, Yoo In Na, Kim Jin Woo, Ga Deuk Hee, Seo Woo Jin, Kim Won Hae",Chorokbaem Media,#140,0.90%,145314,Thriller
140,천원짜리 변호사,"Sep 23, 2022 - Nov 11, 2022",2022,SBS,"Friday, Saturday",12,1 hr. 10 min.,,8.4,"Comedy, Law, Drama","Lawyer Male Lead, Former Prosecutor Male Lead, Prosecutor Supporting Character, Lawyer Supporting Character, Slight Romance, Smart Female Lead, Rich Female Lead, Smart Male Lead, Poor Male Lead, Investigation",Kim Jae Hyun,"Choi Soo Jin, Choi Chang Hwan","Namkoong Min, Kim Ji Eun, Choi Dae Hoon, Lee Deok Hwa, Park Jin Woo, Ha Sung Kwang",Studio S,#141,15.20%,850000,Romance
141,당신이 소원을 말하면,"Aug 10, 2022 - Sep 29, 2022",2022,"KBS2, ViuTV","Wednesday, Thursday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.4,"Romance, Life, Drama, Medical","Healing, Terminal Illness, Hospice Care, Nurse Female Lead, Tearjerker, Tragic Past, Character Development, Strong Female Lead, Hardship, Dysfunctional Family",Kim Yong Wan,Jo Young Soo,"Ji Chang Wook, Choi Soo Young, Sung Dong Il, Won Ji An, Yang Hee Kyung, Kil Hae Yeon","A&E Networks Korea, Climax Studios",#142,3.60%,96000,Action
142,로봇이 아니야,"Dec 6, 2017 - Jan 25, 2018",2017,MBC,"Wednesday, Thursday",32,35 min.,15+ - Teens 15 or older,8.4,"Comedy, Romance, Drama, Sci-Fi","Haphephobia, Hidden Identity, Rich Male Lead, Robot, Eccentric Male Lead, Double Identity, Sismance, Hardworking Female Lead, Healing, Forgiveness",Jeong Dae Yun,Kim Sun Mi,"Yoo Seung Ho, Chae Soo Bin, Uhm Ki Joon, Park Se Wan, Song Jae Ryong, Go Geon Han",May Queen Pictures,#143,4.50%,120000,Thriller
143,메모리스트,"Mar 11, 2020 - Apr 30, 2020",2020,tvN,"Wednesday, Thursday",16,1 hr. 5 min.,15+ - Teens 15 or older,8.4,"Action, Thriller, Mystery, Supernatural","Adapted From A Webtoon, Smart Female Lead, Eccentric Male Lead, Supernatural Power, Calm Female Lead, Investigation, Cult, Aggressive Male Lead, Violence, Murder","So Jae Hyun, Kim Hwi","Ahn Do Ha, Hwang Ha Na","Yoo Seung Ho, Lee Se Young, Jo Sung Ha, Ko Chang Seok, Yun Ji On, Jeon Hyo Sung",Studio 605,#144,3.40%,140000,Thriller
